,Date,Price,Open,High,Low,Vol.,Change %,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM
29,2023-08-24,3.7875,3.8255,3.8255,3.783,0.18,1.12,8.0,2023.0,19374.0,307.026,6.6,307.026
30,2023-08-23,3.8305,3.7845,3.83,3.7845,0.18,1.27,8.0,2023.0,19374.0,307.026,6.6,307.026
31,2023-08-22,3.7825,3.76,3.8,3.7545,0.11,0.96,8.0,2023.0,19374.0,307.026,6.6,307.026
32,2023-08-21,3.7465,3.75,3.756,3.7185,0.09,1.09,8.0,2023.0,19374.0,307.026,6.6,307.026
33,2023-08-18,3.706,3.688,3.7215,3.6645,54.52,0.39,8.0,2023.0,19374.0,307.026,6.6,307.026
34,2023-08-17,3.6915,3.6475,3.7195,3.627,73.41,0.93,8.0,2023.0,19374.0,307.026,6.6,307.026
35,2023-08-16,3.6575,3.66,3.694,3.642,69.28,0.27,8.0,2023.0,19374.0,307.026,6.6,307.026
36,2023-08-15,3.6675,3.727,3.749,3.656,83.18,1.56,8.0,2023.0,19374.0,307.026,6.6,307.026
37,2023-08-14,3.7255,3.7185,3.742,3.687,73.51,0.17,8.0,2023.0,19374.0,307.026,6.6,307.026
38,2023-08-11,3.719,3.755,3.7675,3.695,95.1,1.22,8.0,2023.0,19374.0,307.026,6.6,307.026
39,2023-08-10,3.765,3.7875,3.8315,3.7465,81.24,0.49,8.0,2023.0,19374.0,307.026,6.6,307.026
40,2023-08-09,3.7835,3.7795,3.827,3.7635,85.71,0.45,8.0,2023.0,19374.0,307.026,6.6,307.026
41,2023-08-08,3.7665,3.842,3.842,3.7265,138.6,1.79,8.0,2023.0,19374.0,307.026,6.6,307.026
42,2023-08-07,3.835,3.852,3.877,3.825,70.87,0.84,8.0,2023.0,19374.0,307.026,6.6,307.026
43,2023-08-04,3.8675,3.8995,3.928,3.8255,79.91,0.82,8.0,2023.0,19374.0,307.026,6.6,307.026
44,2023-08-03,3.8995,3.8445,3.904,3.8205,81.96,1.46,8.0,2023.0,19374.0,307.026,6.6,307.026
45,2023-08-02,3.8435,3.91,3.921,3.834,89.27,1.66,8.0,2023.0,19374.0,307.026,6.6,307.026
46,2023-08-01,3.9085,4.0155,4.024,3.904,109.74,2.48,8.0,2023.0,19374.0,307.026,6.6,307.026
47,2023-07-31,4.008,3.93,4.017,3.908,115.17,2.08,7.0,2023.0,19374.0,307.026,6.6,307.026
48,2023-07-28,3.9265,3.848,3.934,3.844,60.86,1.32,7.0,2023.0,19374.0,307.026,6.6,307.026
49,2023-07-27,3.8755,3.905,3.9435,3.838,76.4,0.68,7.0,2023.0,19374.0,307.026,6.6,307.026
